ISIN;nom;ticker
FR0000031122;Air France - KLM;AF
FR0000031577;Virbac;VIRP
FR0000031775;Vicat;VCT
FR0000032278;Latecoere;LAT
FR0000032526;Guerbet;GBT
FR0000033003;Touax;TOUP
FR0000033219;Altarea;ALTA
FR0000033904;Jacquet Metals;JCQ
FR0000035081;Icade;ICAD
FR0000035164;Beneteau;BEN
FR0000035370;Bastide Le Confort;BLC
FR0000038242;Lumibird;LBIRD
FR0000038606;Manitou Bf;MTU
FR0000039109;Seche Environnement;SCHP
FR0000039232;Aurea;AURE
FR0000039299;Bollore;BOL
FR0000039620;Mersen;MRN
FR0000044448;Nexans;NEX
FR0000045072;Credit Agricole;ACA
FR0000050353;Lisi;FII
FR0000050809;Sopra Steria Group;SOP
FR0000051070;Maurel Et Prom;MAU
FR0000051732;Atos;ATO
FR0000051807;Teleperformance;TEP
FR0000052292;Hermes;RMS
FR0000053027;Akwel;AKW
FR0000053225;Metropole Tv;MMT
FR0000053324;Alpes (compagnie);CDA
FR0000053381;Derichebourg;DBG
FR0000053506;Cegedim;CGM
FR0000054231;High Co;HCO
FR0000054470;Ubisoft Entertainment;UBI
FR0000054900;Tf1;TFI
FR0000061129;Boiron;BOI
FR0000061459;Perrier (Gerard);PERR
FR0000062671;Exail technologies;EXA
FR0000062796;Vranken Monopole;VRAP
FR0000062978;Dekuple;DKUPL
FR0000063737;Aubay;AUB
FR0000063935;Bonduelle;BON
FR0000064578;Covivio;COV
FR0000064784;Peugeot Invest;PEUG
FR0000065971;Graines Voltz;GRVO
FR0000066607;Lacroix Industries;LACR
FR0000066672;Gl Events;GLO
FR0000066722;Guillemot;GUI
FR0000066755;Haulotte Group;PIG
FR0000071946;Alten;ATE
FR0000073041;Pierre Vacances;VAC
FR0000073272;Safran;SAF
FR0000073298;Ipsos;IPS
FR0000074072;Bigben Interactive;BIG
FR0000074122;Sii;SII
FR0000074148;Assystem;ASY
FR0000074783;Artmarket.com;PRC
FR0000075392;Orapi;ORAP
FR0000076861;Acteos;EOS
FR0000077919;Jc Decaux Sa.;DEC
FR0000120073;Air Liquide;AI
FR0000120172;Carrefour;CA
FR0000120271;TotalEnergies;TTE
FR0000120321;L'oreal;OR
FR0000120404;Accor Hotels;AC
FR0000120503;Bouygues;EN
